Packet injection rate,Total received packets,Total received flits,Received/Ideal flits ratio,Average wireless utilization,Global average delay (cycles),Max delay (cycles),Network throughput (flits/cycle),Average IP throughput (flits/cycle/IP),Total energy (J),Dynamic energy (J),Static energy (J)
0.001,6204,49640,1.02056,0,13.2444,57,0.522526,0.00816447,8.00209e-05,1.01083e-06,7.901e-05
0.002,12261,98092,1.00835,0,14.1178,56,1.03255,0.0161336,8.10396e-05,2.02951e-06,7.901e-05
0.003,18186,145501,0.997129,0,14.7671,84,1.53159,0.0239311,8.20075e-05,2.99743e-06,7.901e-05
0.004,24514,196118,1.00801,0,15.5641,85,2.0644,0.0322563,8.3058e-05,4.04797e-06,7.901e-05
0.005,30346,242764,0.998207,0,16.6242,106,2.55541,0.0399283,8.40262e-05,5.01617e-06,7.901e-05
0.006,36759,294063,1.00762,0,17.8772,154,3.0954,0.0483656,8.50705e-05,6.06046e-06,7.901e-05
0.007,42510,340070,0.998796,0,18.9556,145,3.57968,0.0559326,8.60477e-05,7.03765e-06,7.901e-05
0.008,48539,388288,0.997862,0,20.3827,133,4.08724,0.0638632,8.70088e-05,7.9988e-06,7.901e-05
0.009,54662,437278,0.998899,0,22.156,173,4.60293,0.0719207,8.80827e-05,9.07266e-06,7.901e-05
0.01,60966,487708,1.00269,0,24.5197,264,5.13377,0.0802151,8.91013e-05,1.00913e-05,7.901e-05
0.011,67041,536336,1.00242,0,27.0758,346,5.64564,0.0882132,9.00907e-05,1.10807e-05,7.901e-05
0.012,73186,585477,1.00308,0,30.4783,328,6.16292,0.0962956,9.11538e-05,1.21438e-05,7.901e-05
0.013,78674,629391,0.995368,0,35.4115,591,6.62517,0.103518,9.20847e-05,1.30747e-05,7.901e-05
0.014,84995,679965,0.998539,0,44.3736,754,7.15753,0.111836,9.31755e-05,1.41655e-05,7.901e-05
0.015,91550,732424,1.00387,0,60.6126,1302,7.70973,0.120464,9.42882e-05,1.52782e-05,7.901e-05
0.016,96946,775555,0.99655,0,95.2772,1831,8.16374,0.127558,9.52947e-05,1.62846e-05,7.901e-05
0.017,103157,825239,0.998015,0,322.852,7582,8.68673,0.13573,9.64568e-05,1.74467e-05,7.901e-05
0.018,105754,846021,0.966307,0,1639.92,31154,8.90548,0.139148,9.6991e-05,1.7981e-05,7.901e-05
0.019,107319,858537,0.928992,0,3366.91,41110,9.03723,0.141207,9.73146e-05,1.83046e-05,7.901e-05
0.02,107851,862819,0.886944,0,5064.43,41905,9.08231,0.141911,9.74387e-05,1.84287e-05,7.901e-05
0.021,108263,866094,0.847915,0,6710.65,45883,9.11678,0.14245,9.7532e-05,1.85219e-05,7.901e-05
0.022,108570,868561,0.811679,0,8573.27,47926,9.14275,0.142855,9.7591e-05,1.8581e-05,7.901e-05
0.023,108189,865543,0.77369,0,10510,50797,9.11098,0.142359,9.74957e-05,1.84857e-05,7.901e-05
0.024,108614,868958,0.744379,0,11497.3,54024,9.14693,0.142921,9.76353e-05,1.86253e-05,7.901e-05
0.025,108489,867920,0.71375,0,13375.1,54598,9.136,0.14275,9.75813e-05,1.85713e-05,7.901e-05
0.026,108482,867843,0.686237,0,14767.3,57229,9.13519,0.142737,9.76266e-05,1.86166e-05,7.901e-05
0.027,108264,866160,0.659539,0,15660.2,60336,9.11747,0.142461,9.76103e-05,1.86002e-05,7.901e-05
0.028,108366,866930,0.63655,0,16968.9,63638,9.12558,0.142587,9.76134e-05,1.86033e-05,7.901e-05
0.029,108289,866312,0.614162,0,17951.9,63050,9.11907,0.142486,9.7634e-05,1.8624e-05,7.901e-05
0.03,108031,864291,0.592305,0,19369.6,65423,9.0978,0.142153,9.7591e-05,1.85809e-05,7.901e-05
0.031,108096,864798,0.573534,0,20334.6,64383,9.10314,0.142237,9.75724e-05,1.85624e-05,7.901e-05
0.032,108324,866565,0.556747,0,21303.9,66974,9.12174,0.142527,9.76173e-05,1.86073e-05,7.901e-05
0.033,108466,867696,0.54058,0,22036.6,67417,9.13364,0.142713,9.76299e-05,1.86198e-05,7.901e-05
0.034,108260,866114,0.523724,0,23070.2,68449,9.11699,0.142453,9.76212e-05,1.86112e-05,7.901e-05
0.035,108622,868964,0.510435,0,23964.4,70146,9.14699,0.142922,9.76134e-05,1.86033e-05,7.901e-05
0.036,108081,864627,0.493779,0,24743.7,70726,9.10134,0.142208,9.75642e-05,1.85542e-05,7.901e-05
0.037,107970,863768,0.479956,0,25556.9,71344,9.09229,0.142067,9.75619e-05,1.85519e-05,7.901e-05
0.038,108321,866560,0.468837,0,26314.2,71651,9.12168,0.142526,9.75951e-05,1.8585e-05,7.901e-05
0.039,108158,865272,0.456136,0,26795.5,72774,9.10813,0.142314,9.7626e-05,1.8616e-05,7.901e-05
0.04,108265,866122,0.44517,0,27615.4,72509,9.11707,0.142454,9.76141e-05,1.8604e-05,7.901e-05
0.041,108322,866578,0.43454,0,28038.6,72383,9.12187,0.142529,9.76492e-05,1.86391e-05,7.901e-05
0.042,108564,868498,0.425134,0,28612.6,74340,9.14208,0.142845,9.77057e-05,1.86957e-05,7.901e-05
0.043,108008,864074,0.413132,0,29332.8,77149,9.09552,0.142117,9.75676e-05,1.85575e-05,7.901e-05
0.044,108876,871023,0.40699,0,29767.9,74588,9.16866,0.14326,9.76816e-05,1.86715e-05,7.901e-05
0.045,108787,870309,0.397619,0,30256.3,74873,9.16115,0.143143,9.76708e-05,1.86608e-05,7.901e-05
0.046,108379,867028,0.387509,0,30702.1,75997,9.12661,0.142603,9.76583e-05,1.86482e-05,7.901e-05
0.047,107668,861368,0.376788,0,31561.7,78580,9.06703,0.141672,9.751e-05,1.85e-05,7.901e-05
0.048,107962,863694,0.369935,0,31736.4,79310,9.09152,0.142055,9.75591e-05,1.85491e-05,7.901e-05
0.049,108629,869051,0.364633,0,31948.5,76069,9.14791,0.142936,9.76424e-05,1.86324e-05,7.901e-05
0.05,108145,865166,0.355743,0,32641.5,80059,9.10701,0.142297,9.75668e-05,1.85568e-05,7.901e-05
0.051,108342,866740,0.349402,0,32700.5,80220,9.12358,0.142556,9.76041e-05,1.8594e-05,7.901e-05
0.052,108460,867673,0.343051,0,33245.1,78430,9.1334,0.142709,9.76326e-05,1.86225e-05,7.901e-05
0.053,108427,867396,0.336471,0,33529.6,79510,9.13048,0.142664,9.76444e-05,1.86343e-05,7.901e-05
0.054,107955,863649,0.328814,0,34196.3,78998,9.09104,0.142048,9.76096e-05,1.85995e-05,7.901e-05
0.055,108606,868853,0.324781,0,34123.1,80176,9.14582,0.142903,9.76483e-05,1.86382e-05,7.901e-05
0.056,108159,865305,0.317678,0,34783.1,80303,9.10847,0.14232,9.76009e-05,1.85909e-05,7.901e-05
0.057,108101,864789,0.311919,0,34950.2,82003,9.10304,0.142235,9.75958e-05,1.85858e-05,7.901e-05
0.058,108374,866990,0.307321,0,35317.3,81983,9.12621,0.142597,9.76733e-05,1.86632e-05,7.901e-05
0.059,108971,871767,0.303777,0,35447.2,81243,9.17649,0.143383,9.77435e-05,1.87334e-05,7.901e-05
0.06,108267,866142,0.296787,0,35805.1,82423,9.11728,0.142458,9.7701e-05,1.86909e-05,7.901e-05
0.061,108834,870692,0.293455,0,35950.5,82236,9.16518,0.143206,9.77106e-05,1.87006e-05,7.901e-05
0.062,108291,866333,0.287276,0,36335.8,83171,9.11929,0.142489,9.76409e-05,1.86308e-05,7.901e-05
0.063,108615,868909,0.283557,0,36600.3,82068,9.14641,0.142913,9.76731e-05,1.86631e-05,7.901e-05
0.064,108840,870709,0.279705,0,36722.7,83494,9.16536,0.143209,9.769e-05,1.868e-05,7.901e-05
0.065,108332,866659,0.27412,0,37179.2,83722,9.12273,0.142543,9.76852e-05,1.86752e-05,7.901e-05
0.066,108056,864433,0.269274,0,37277.2,82874,9.09929,0.142176,9.76023e-05,1.85922e-05,7.901e-05
0.067,108384,867056,0.26606,0,37568.8,84041,9.12691,0.142608,9.76661e-05,1.86561e-05,7.901e-05
0.068,108651,869201,0.262795,0,37936,84048,9.14948,0.142961,9.7669e-05,1.86589e-05,7.901e-05
0.069,108836,870668,0.259424,0,37960.7,84265,9.16493,0.143202,9.7701e-05,1.86909e-05,7.901e-05
0.07,108440,867540,0.254799,0,38103.3,85232,9.132,0.142687,9.76718e-05,1.86617e-05,7.901e-05
0.071,108150,865189,0.25053,0,38393,84824,9.10725,0.142301,9.76101e-05,1.86001e-05,7.901e-05
0.072,108716,869715,0.248342,0,38544.6,84533,9.15489,0.143045,9.76773e-05,1.86672e-05,7.901e-05
0.073,107535,860284,0.242284,0,38949.9,85111,9.05562,0.141494,9.75061e-05,1.84961e-05,7.901e-05
0.074,107972,863777,0.239981,0,38933.5,85476,9.09239,0.142069,9.76206e-05,1.86106e-05,7.901e-05
0.075,108421,867397,0.237773,0,39094.6,84845,9.13049,0.142664,9.76241e-05,1.8614e-05,7.901e-05
0.076,108086,864691,0.233913,0,39242.4,86742,9.10201,0.142219,9.76316e-05,1.86216e-05,7.901e-05
0.077,107925,863430,0.230538,0,39640.9,86378,9.08874,0.142012,9.75295e-05,1.85194e-05,7.901e-05
0.078,108647,869200,0.229103,0,39535.7,86479,9.14947,0.142961,9.76615e-05,1.86515e-05,7.901e-05
0.079,108585,868668,0.226065,0,39828.6,86733,9.14387,0.142873,9.76738e-05,1.86638e-05,7.901e-05
