Packet injection rate,Total received packets,Total received flits,Received/Ideal flits ratio,Average wireless utilization,Global average delay (cycles),Max delay (cycles),Network throughput (flits/cycle),Average IP throughput (flits/cycle/IP),Total energy (J),Dynamic energy (J),Static energy (J)
0.001,6030,48235,0.991674,0,14.024,67,0.507737,0.00793339,8.00415e-05,1.03144e-06,7.901e-05
0.002,12078,96621,0.993226,0,15.0047,78,1.01706,0.0158916,8.10741e-05,2.06409e-06,7.901e-05
0.003,18219,145745,0.998801,0,16.4454,116,1.53416,0.0239712,8.21178e-05,3.10771e-06,7.901e-05
0.004,24090,192728,0.990584,0,18.0965,149,2.02872,0.0316987,8.31297e-05,4.11966e-06,7.901e-05
0.005,30392,243151,0.999799,0,20.3099,234,2.55948,0.0399919,8.41996e-05,5.18956e-06,7.901e-05
0.006,36637,293097,1.00431,0,24.6689,425,3.08523,0.0482067,8.52525e-05,6.24245e-06,7.901e-05
0.007,42439,339529,0.997207,0,31.0981,798,3.57399,0.0558436,8.62829e-05,7.27282e-06,7.901e-05
0.008,48969,391736,1.00672,0,114.541,5470,4.12354,0.0644303,8.75232e-05,8.51313e-06,7.901e-05
0.009,52088,416719,0.951935,0,1166.74,77176,4.38652,0.0685393,8.80364e-05,9.02637e-06,7.901e-05
0.01,53932,431449,0.887025,0,2060.6,89964,4.54157,0.070962,8.82845e-05,9.27444e-06,7.901e-05
0.011,56206,449622,0.840352,0,3411.23,90210,4.73286,0.073951,8.86171e-05,9.60702e-06,7.901e-05
0.012,57107,456822,0.782658,0,4712.45,93741,4.80865,0.0751352,8.87292e-05,9.71918e-06,7.901e-05
0.013,58653,469222,0.742064,0,5984.95,90865,4.93918,0.0771747,8.89102e-05,9.9002e-06,7.901e-05
0.014,60490,483918,0.710641,0,7239.19,93630,5.09387,0.0795918,8.91626e-05,1.01526e-05,7.901e-05
0.015,61066,488527,0.669582,0,8048.47,94874,5.14239,0.0803498,8.91815e-05,1.01714e-05,7.901e-05
0.016,62022,496143,0.637519,0,8756.41,96003,5.22256,0.0816025,8.93728e-05,1.03627e-05,7.901e-05
0.017,62441,499541,0.604128,0,9710.67,93582,5.25833,0.0821613,8.93649e-05,1.03549e-05,7.901e-05
0.018,63015,504097,0.575769,0,10579.6,94991,5.30628,0.0829107,8.93762e-05,1.03662e-05,7.901e-05
0.019,63186,505488,0.54697,0,12375.6,96339,5.32093,0.0831395,8.94119e-05,1.04018e-05,7.901e-05
0.02,63477,507814,0.522013,0,13529.8,97938,5.34541,0.083522,8.94538e-05,1.04438e-05,7.901e-05
0.021,64155,513258,0.502485,0,14494.3,97156,5.40272,0.0844174,8.9513e-05,1.05029e-05,7.901e-05
0.022,64275,514214,0.480538,0,15101,96400,5.41278,0.0845747,8.95127e-05,1.05027e-05,7.901e-05
0.023,64583,516674,0.461844,0,15435.2,97224,5.43867,0.0849793,8.94891e-05,1.0479e-05,7.901e-05
